geometry,reach,gravity_logistic,gravity_exponential,knn_logistic
POINT (2872.884167997518 1208.38030453762),433,86.27764076979447,203.65902827041586,3.5217886296954553
POINT (4176.710987007223 119.24380714958166),257,60.392743011457284,125.20133478854495,1.9408658883371768
POINT (2735.551894608343 2749.0161249732587),469,87.74494060349686,216.82495454229158,3.4078929026500155
POINT (4618.938719079409 3546.5894369851417),316,76.00797579609572,155.60265422188982,3.8802333140443914
POINT (2817.315106963933 113.31755468687818),264,63.451302618051905,129.51621478840627,2.386238938633565
POINT (1262.8173705574116 3458.543797416696),428,82.40303523628415,198.57506329169064,2.586999713465115
POINT (1816.4645028969232 2078.300426720938),489,94.10938806873608,226.39895091116924,3.345241063758651
POINT (2810.886044017773 3132.4851735268326),461,88.82670111476588,214.0651805984314,2.2360839110730413
POINT (3412.4223162311555 2274.7961306416705),443,94.52304186778265,210.68116080612455,3.650959838744977
POINT (3445.6081590799668 4069.2730031340984),350,77.44888418115998,166.00280009852935,2.9648497561415152
POINT (787.2210988398409 494.0711632983204),376,89.94208010044854,185.70102957142393,1.842698993519808
POINT (4949.870778143747 4155.396190103406),175,33.32126108146074,80.60051785405696,1.3635890155586978
POINT (2999.9885523604494 2311.801884521213),447,87.92135558325198,209.8720683226059,2.740276403356937
POINT (3010.407304304048 3187.255533270386),465,88.81415283752071,216.09575551467233,3.850805465779738
POINT (4158.592935944796 4177.197468623449),266,78.2535934829127,137.38052758175172,2.9754017615248927
POINT (3963.2055657649303 3228.3106344173975),445,84.56776140206328,207.0796063525366,3.9151785791585643
POINT (166.17152350678856 32.93211296870752),162,40.27903434093272,79.22682836723777,2.8063192851828616
POINT (1209.8312855362462 1087.2392429244683),469,99.07785554830114,223.0866566856211,2.1429154643039383
POINT (3739.5311573160384 4150.880500968202),305,76.64233181220902,150.58179327295724,2.8726837498918063
POINT (2312.183880919514 3987.541048458603),353,89.71946123102731,175.01728004739104,3.136008253193825
POINT (3737.5130786666628 1470.7690783720416),481,93.74616717335961,225.32628440185826,2.081847564166919
POINT (4717.644545084985 767.9825996689385),310,77.81858455025291,152.63875084715934,3.776157614071865
POINT (2433.252888801668 3467.4048959297843),466,95.79094506676668,219.70554231694047,1.8994383610182988
POINT (386.09462226486517 1396.5646219815962),404,89.69427831892177,195.88652288570597,3.999510621355112
POINT (1825.1419334006666 2804.083988875423),495,99.47391308053417,232.5127165319763,2.06593232811171
POINT (4124.636926950013 252.04122042258234),302,74.40404035994709,148.1962711570732,3.913920790302415
POINT (467.8507152963127 440.66111966564677),322,91.61879303516439,163.46246270905496,2.406549543137472
POINT (4620.496835092691 295.14196859160273),228,68.79883884636034,118.37176306956192,2.3474701585450166
POINT (602.6322223202819 3482.850114766469),363,80.88785600153258,174.41359036359435,3.9770735321067474
POINT (4728.39165171956 2073.8407119623294),327,62.9468631335565,152.9957116817862,4.298295628912082
POINT (4033.9631709098417 985.9071773205022),473,98.72660163568952,223.23666958777238,2.7194071816612437
POINT (2882.2949132171993 3577.9883254223687),430,93.32740625674569,206.78169836922987,3.455485612231275
POINT (221.92367404165566 2096.850333111528),301,72.13868628061083,148.67680923590547,2.2050965106172113
POINT (550.8861914410603 2510.1333200473814),391,97.19648591347122,194.27676084728864,2.9466152429883063
POINT (1059.2352226664746 1485.2476169669574),501,101.53234782117983,235.5089108689739,4.278656389176936
POINT (882.8929251116623 3703.966567435992),362,77.67262600337223,173.23734754153747,3.2159603544026765
POINT (453.33140281378775 3851.4127455474922),267,73.0562209660607,135.7629597394394,2.7992434366596903
POINT (3193.061972776808 527.858134833141),366,84.8822391776997,177.94222727836438,3.150591886029499
POINT (167.02190622136152 1576.9210936254076),320,58.14688084401145,148.8828534589171,2.9553261488723033
POINT (4398.283834097437 3210.717677028255),377,81.72572366473699,181.512360070474,3.2742921070083066
POINT (3594.430568445026 3796.707926838513),414,86.34130359553001,198.07344136954848,3.937661934328844
POINT (51.69912837100194 2509.8169055395833),273,50.52256446679834,126.16553910849717,4.137651708993913
POINT (3522.4995612935545 2464.696196224607),451,91.74256087648558,211.42980837632555,2.0547093132103855
POINT (4602.730809372858 4013.546812266279),266,66.03707379228355,131.6579715342495,3.207898082824544
POINT (1669.0124211545558 2363.521134033077),489,104.59016237250248,232.06484758194438,2.7607718851312084
POINT (1289.7719201898085 2495.855062022808),511,100.71223669904914,238.4576349613054,2.0187612695856822
POINT (382.5411868388439 4096.4463574879),212,62.272301709914814,108.37129429359379,1.9463795384373037
POINT (276.81431199858537 892.5309855444708),338,90.83440683001031,170.0481037847553,2.328273996754421
POINT (4343.391963858318 2510.7831861667887),418,82.14760207864548,194.15182932833278,2.140624417257375
POINT (1925.6070598083907 2570.982622964348),475,96.97695542015899,223.9589534458687,2.461568017148828
POINT (3894.2942134896502 3685.840016246487),410,95.80812010255094,198.77566328907818,2.462971870057825
POINT (1651.0432561856196 3696.9309392139176),401,88.45756561832935,192.18296754326167,2.9449594152323986
POINT (1827.4393732816707 2198.7540828781703),483,99.56470309921833,227.5912653871322,2.0816544172567637
POINT (592.2147315793635 53.32867972614447),224,47.561170850973355,107.33018995951817,3.645699843197919
POINT (4071.202479453462 1801.0683642700774),470,105.18088706811938,225.96605585180833,2.0848797777648413
POINT (30.73348392627044 2730.5671116119456),239,43.73027454489329,111.00490010316541,2.9938444890331986
